Jailer
Beautiful
Filmistaan
Hum Tumhare Hain Sanam
Akira
Sonchiriya
The Other End of the Line
Kesari
Nympho: The Lust Story
San' 75 (Pachattar)
Shootout at Wadala
Murder 2
Luck by Chance
Kaho Naa... Pyaar Hai
All the Best: Fun Begins
Band Baaja Baaraat
Baazaar
Miss Teacher
Raaz
Nayak: The Real Hero
Race
Sergeant
Khosla Ka Ghosla!
Siya
Golmaal 3
Blackmail
Baadshaho
Babli Bouncer
Midnight's Children
Rahasya
Love-All
Entertainment
Kanguva
Chehre
Good Luck Jerry
Kaamyaab
Madhoshi
Housefull
Mardaani 2
Toolsidas Junior
Love Sonia
Hate Story 3
Looop Lapeta
Mumbai Saga
Kaante
The Hungry
Kabzaa
Forensic
Shootout at Lokhandwala
Double XL
Phone Bhoot
Cadaver
Bombay Talkies
Almost Pyaar with DJ Mohabbat
Oh! Baby
Rashmi Rocket
The Tashkent Files
Mulk
Dabangg 2
Romeo Akbar Walter
DAMaN
Dil Bole Hadippa!
Buddha in a Traffic Jam
The Purvanchal Files
Blind
Love Aaj Kal
Har Dil Jo Pyar Karega...
Ankhon Dekhi
Joram
Ardh
Khoobsurat
Bachchhan Paandey
Hichki
Rangoon
Ujda Chaman
Untitled Soorarai Pottru remake
Dishoom
Aankh Micholi
Aashiq Banaya Aapne: Love Takes Over
Golmaal Returns
Kaalakaandi
Hanuman
Tariq
Court
Chhalaang
Street Dancer 3D
Jhund
U-Turn
Thalaivi
Kedarnath
Raajneeti
Mission Mangal
Maja Ma
Paa
The Intern
Panipat
One 2 Ka 4
Titli
Monsoon Shootout
Jolly LLB
Kaal
Kadvi Hawa
Daddy
Dharam Sankat Mein
Class of 83
Sheran Di Kaum Punjabi
Brothers
Deewangee
Madaari
Breakaway
A Gentleman
Rock On!!
Evil Eye
Margarita with a Straw
Rakshak India's Braves
The Diplomat
Thappad
Joker
Nazar Andaaz
Gulabo Sitabo
Phobia
B.A. Pass 2
Commando
Dhan Dhana Dhan Goal
Chocolate: Deep Dark Secrets
Dolly Kitty Aur Woh Chamakte Sitare
Badrinath Ki Dulhania
Dial 100
Kaun Pravin Tambe?
Toofaan
Besharam
India's Most Wanted
Aamir
Titu Ambani
Judgementall Hai Kya
Khiladi 786
Hurdang
Plan A Plan B
Pari
Thank You
Firrkie
Bol Bachchan
Hisss
Guthlee Ladoo
Haan Maine Bhi Pyaar Kiya
The Xpose
Aashiq
Pal Pal Dil Ke Paas
Kyaa Super Kool Hain Hum
Rocket Singh: Salesman of the Year
Tere Bin Laden
The Underbug
Blue
Chameli
Khushi
Mausam
Fiza
Hungama
Yeh Saali Zindagi
Raabta
Untitled Shahid Kapoor/Kriti Sanon Film
Neerja
Qayamat: City Under Threat
Raju Chacha
Vivah
Bhoot Police
Operation Romeo
Aksar 2
Ferrari Ki Sawaari
Untitled
OK Jaanu
Ki & Ka
Matrubhoomi: A Nation Without Women
Ginny Weds Sunny
Action Replayy
Khatta Meetha
Humraaz
Jhankaar Beats
Yamini
Bangistan
Hawa
Zubeidaa
Singh Saab the Great
Garbage
Koochie Koochie Hota Hai
One Two Three
Raaz: The Mystery Continues
"LSD: Love, Sex Aur Dhokha"
Love Hostel
Gunday
Michael
Behen Hogi Teri
Pogaru
Motu Patlu Kung Fu Kings Returns
Sorry Karma Returns
Mary Kom
Force 2
Loveyatri
Shaadi Ke Side Effects
Roohi
Cantt Road: The Beginning
Patiala House
Kho Gaye Hum Kahan
Pippa
Raanjhanaa
Lakadbaggha
Kavacham
Janmabhoomi
Aks
Khan kluay
Hunterrr
Lost
The Ghazi Attack
Tujhe Meri Kasam
Gangster
Commando 3
The Lift Boy
Main Aur Charles
Salaam-E-Ishq
Chhal
Maine Pyaar Kyun Kiya
Gori Tere Pyaar Mein!
Theeran Adhigaaram Ondru
Ek Ladki Ko Dekha Toh Aisa Laga
Chandni Chowk to China
Hi Nanna
Kis Kisko Pyaar Karoon
Chalaak
Stanley Ka Dabba
Ghost Story - An Abstract Film
Sandeep Aur Pinky Faraar
Rascals
Aiyaary
Wake Up Sid
Keedaa Cola
Daawat-e-Ishq
Aiyyaa
Dr. Cabbie
Mahanati
Har Har Mahadev
That Girl in Yellow Boots
Jolly LLB 2
Gold
Bichhoo
Kaali Khuhi
Aatmapamphlet
Awarapan
Hate Story 2
Brahmastra 2
Musafir
Possessed Love
Prem Ratan Dhan Payo
David
Roar
Aarakshan
Angithee
Meenakshi Sundareshwar
De Dana Dan
Mastram
Ek Thi Daayan
Le Halua Le
Axone
Mardaani
Kalyug
Yeh Shaadi Nahi Ho Sakti
Hawayein
Baaghi 2
Ragini MMS 2
The Blue Umbrella
Operation Valentine
Race 2
Monsoon
Ek Main Aur Ekk Tu
Refugee
Marjaavaan
Bramayugam
Ek Paheli Leela
Prince
My Friend Ganesha 4
Luck
Phir Bhi Dil Hai Hindustani
Grand Masti
Coat
Footpath
Julie 2
Laaga Chunari Mein Daag: Journey of a Woman
Helicopter Eela
Humko Deewana Kar Gaye
Ek Hasina Thi
Soorma
Nikamma
Do Lafzon Ki Kahani
Phata Poster Nikhla Hero
Manikarnika: The Queen of Jhansi
August 16 1947
Nasha
Tum Bin 2
Zanjeer
Shukranu
Jigarthanda DoubleX
Ramaiya Vastavaiya
Yaadein...
Chhota Bheem Kung Fu Dhamaka
Maatr
Alag: He Is Different.... He Is Alone...
Delhi-6
Ship of Theseus
Golmaal: Fun Unlimited
The Hero of Color City
Kyon Ki...
Choked: Paisa Bolta Hai
Azhar
Panga
Rog
Dil Toh Baccha Hai Ji
Waqt: The Race Against Time
Kasethan Kadavulada
Who Am I
Pitaah
Guest iin London
Policegiri
Shaakuntalam
Hasee Toh Phasee
Tiger Nageswara Rao
Baar Baar Dekho
Doodhwali
Socha Na Tha
Veera Simha Reddy
Tadap
Khichdi: The Movie
Laal Rang
Once Again
Samay: When Time Strikes
Khaidi No. 150
Darna Zaroori Hai
Darna Mana Hai
Dono
Shaurya: It Takes Courage to Make Right... Right
Satyameva Jayate
The Conversion
Kismat Konnection
Kabul Express
Ghayal Once Again
Sherdil
Kaala Barbarian Chapter 1
Manjhi: The Mountain Man
Dhadak
Kites
State of Siege: Temple Attack
Dulha Mil Gaya
Pizza
Yuvvraaj
Happy Bhag Jayegi
PM Narendra Modi
'D'
Aap Mujhe Achche Lagne Lage
Thackeray
Shimla Mirchi
Golmaal Again
Enemy
Soni
Paap
Jackpot
Roadside Romeo
Maarrich
Dosti: Friends Forever
The Accidental Prime Minister
Drive
Ajmer 92
Hindutva
Shakuntala Devi
Anwar
Garv: Pride and Honour
The Storyteller
Mere Jeevan Saathi
Kochadaiiyaan
Bombay
Don
Chhota Bheem aur Krishna: Mayanagari
Yaara
De De Pyaar De
Malaal
Match Of Life
Ek Betuke Aadmi Ki Afrah Raatein
Do Dooni Chaar
Badal
Badla Sherni Ka
Badnaam Gali
Vishwaroopam
Unpaused
Victoria: Ek Rahasya
Jaani Dushman: Ek Anokhi Kahani
Spirit
Pati Patni Aur Woh
Chhatriwali
Lootcase
Mister Mummy
Pailwaan
Rajnigandha
Sold
Bhoot
Martin
Tumko Na Bhool Paayenge
Fugly
Phas Gaye Re Obama
Tauba Tauba
Heropanti
Pihu
Oh My Ghost
Dasvidaniya
MP3: Mera Pehla Pehla Pyaar
Andaaz
Dostana 2
What's Your Raashee?
Tutak Tutak Tutiya
Jaal: The Trap
Badmaa$h Company
Hamari Adhuri Kahani
Bad Boy
Doordarshan
Haasil
Neal 'N' Nikki
Hijack
Fida
Cold Case
Mastizaade
Ab Tak Chhappan
Bhaagamathie Full Hindi Dubbed Movie
Saathiya
Ankahi Kahaniya
Pudhu Pettai
Tejas
Shubh Mangal Saavdhan
Phantom
Coolie No. 1
Aisha
Fire in the Mountains
Heyy Babyy
Dhol
Bahut Hua Sammaan
Lajja
Krishna Cottage
Nela Ticket
Veere Di Wedding
NH10
Gunjan Saxena: The Kargil Girl
Silence... Can You Hear It?
Badass Ravikumar
Khoj
Jhoom Barabar Jhoom
Humshakals
Maine Dil Tujhko Diya
Raja Natwarlal
Chhorii
The Song of Scorpions
Machine
Acting Ka Bhoot
Hamara Dil Aapke Paas Hai
Pyaar Ishq Aur Mohabbat
Pantham
Kyaa Kool Hai Hum
Hamid
Apna Sapna Money Money
The Killer
Siren
Laila Aur Satt Geet
Oye Lucky! Lucky Oye!
Bhoot: Part One - The Haunted Ship
Shabaash Mithu
Hulchul
Saand Ki Aankh
Kodiyil Oruvan
Paltan
Rehnaa Hai Terre Dil Mein
Ta Ra Rum Pum
Indoo Ki Jawani
The Dirty Picture
Pagalpanti
Dil Ka Rishta
Khaali Peeli
Shamitabh
Miss Lovely
Parivartan
Tigers
Rishtey
Aalavandhan
Shubh Mangal Zyada Saavdhan
One Night Stand
Nishabd
Sixteen
Lohardaga
Sathyam
Salmon 3D
Chimanee Pakhre
Ek Vivaah... Aisa Bhi
Break Ke Baad
Rock On 2
Bumm Bumm Bole
Hacked
Dybbuk: The Curse Is Real
Sardaar Gabbar Singh
Kacchey Limbu
Yeh Hai Jalwa
Saawariya
Emergency
Makdee
Black Rose
Sarkar Raj
Phoonk
Yamla Pagla Deewana
Love Story 2050
Commando 2
Mehsampur
Mere Brother Ki Dulhan
12th Fail
Jaan-E-Mann: Let's Fall in Love... Again
Umrao Jaan
Dum Maaro Dum
Sui Dhaaga: Made in India
Om - The Battle Within
Iftikhar
Cash
Drona
Bewafaa
Why Cheat India
Salaam Namaste
B.A. Pass 3
Kasoor
Players
Phillauri
Aurangzeb
Right Yaaa Wrong
Raktneeti
Vishwaroopam 2
Love in a Taxi
Action Jackson
Atithi Tum Kab Jaoge?
Kya Kehna
Navra Mazha Navsacha
Welcome to New York
All India Rank
Great Grand Masti
Sheela I Love You
Mr. & Mrs. Mahi
Road to Sangam
Honeymoon Travels Pvt. Ltd.
Jung
Raavan
City Lights
Blank
Mitron
Daku Ramkali
Ajji
Mudrank: The Stamp
Bluffmaster!
Ramayana: The Epic
Mangal Pandey: The Rising
The Journey of Karma
Raaz Reboot
Dhanak
Bhoot and Friends
Sssshhh...
Haathi Mere Saathi
The Shaukeens
I Am Kalam
Jannat: In Search of Heaven...
Half Girlfriend
Jalebi
Thupparivaalan
Saina
Virgin Bhanupriya
Halahal
Maid for each other
Stalin
Dus
3rd October
Baabul
Dobaara: See Your Evil
Hawas
Happy Ending
Japan
The Past
Dvand: The Internal Conflict
Irada
Jaggu Ki Lalten
Dedh Ishqiya
VD18
Ram Gopal Varma Ki Aag
Yeh Ballet
Woh Lamhe ...
Welcome to Karachi
No Land's Man
1971
Saheb Biwi Aur Gangster 3
Hawaizaada
Tumhari Sulu
Dangerous Ishhq
Shuddh Desi Romance
Mubarakan
Jazbaa
Lucky: No Time for Love
Super Nani
Dhoondte Reh Jaoge
Googly
Hadh Kar Di Aapne
Mere Baap Pehle Aap
Long Live Brij Mohan
Meel patthar
NTR: Kathanayakudu
Apne
Yeh Lamhe Judaai Ke
No Problem
Begum Jaan
Taarzan: The Wonder Car
Yaariyan
The Legend of Bhagat Singh
Beyond the Clouds
Oops!
Hawaa Hawaai
Ram Singh Charlie
Main Atal Hoon
Simran
Dulhan Hum Le Jayenge
Indian Never Again Nirbhaya
Chaar Lugaai
Pinjar: Beyond Boundaries...
200: Halla Ho
Ayalaan
Total Dhamaal
Aayirathil Oruvan
Fashion
14 Phere
Yellow Bus
Torbaaz
Ishq Vishk
Chakravyuh
Darwaza
Kadakh
Scorned
Shikara
Freaky Ali
Ready
Iqbal
Operation Fryday
Dil Hai Gray
Kahin Pyaar Na Ho Jaaye
Journey Bombay to Goa: Laughter Unlimited
The Hero: Love Story of a Spy
The Zoya Factor
Kucch To Hai
Ungli
Prassthanam
Berlin
Bhonsle
Chashme Baddoor
Pukar
All Is Well
Ittu Si Baat
Bunty Aur Babli 2
Harami
Kisna: The Warrior Poet
Jal
Ek Gulelbaaz the Catapult
Fraud Saiyyan
Barot House
The Attacks of 26/11
Son of Sardaar
Mere Aagosh Mein
Chhota Bheem Himalayan Adventure
Free Entry
Shaapit: The Cursed
Ramprasad Ki Tehrvi
Backfire
Main Prem Ki Diwani Hoon
Tu Hai Mera Sunday
#Homecoming
Farz
Chalk N Duster
U Me Aur Hum
"Tom, Dick, and Harry"
Tryst with Destiny
Mukti Bhawan
Ajab Prem Ki Ghazab Kahani
Dhadkan
I Love You
The Stoneman Murders
Lomad
Bhuj: The Pride of India
Tribhanga
Kuch Pal Pyar Ke
Dor
Do Knot Disturb
Lupt
Cargo
Cheeni Kum
Chhota Bheem and the Curse of Damyaan
Veer
Khichdi 2
Sandwich
Sunday
F.A.L.T.U
The Y
Shabd
Mela
Lingaa
Firaaq
Ek Rishtaa: The Bond of Love
15 Park Avenue
Angoor
Kill Dil
Junko
Ankur Arora Murder Case
Chintu Ka Birthday
Amavas
Bhindi Baazaar
Rangeela Raja
Eeb Allay Ooo!
404: Error Not Found
DJ Tillu
Genius
Suraj Pe Mangal Bhari
The Final Exit
Dec-24
Dev Bhoomi
Bull
Satellite Shankar
Kidnap
Talaash: The Hunt Begins...
Chittagong
Batti Gul Meter Chalu
Genie
Boss
Power
Viruddh... Family Comes First
Tango Charlie
Bank Chor
Nautanki Saala!
Luv Shuv Tey Chicken Khurana
Sakthi
Jajantaram Mamantaram
Inkaar
American Desi
Jai Mummy Di
Rosie: The Saffron Chapter
Stree 2
One Day: Justice Delivered
Na Tum Jaano Na Hum
Mohalla Assi
X: Past Is Present
Despatch
Kuselan
Parineeta
Jai Ho
Tanu Weds Manu Returns
Tanu Weds Manu
Karma Strikes
Tamso
Nehlle Pe Dehlla
The Hidden Strike
Woh Ladki Hai Kahaan
Amar Prem
Thadaiyara Thaakka
Return of Hanuman
Rang Rasiya
Malamaal Weekly
Ticket ek Sangharsh
Angithee 2
Jaane Do
Irumbu Thirai
Haunted - 3D
Thoda Pyaar Thoda Magic
Shakthi: The Power
Finding Fanny
Teri Meri Kahaani
Bhoothnath Returns
Arjun Patiala
Balakot: the true story
Agni Pankh
Rajma Chawal
Big Brother
Minus 31: The Nagpur Files
No Entry
Jism
Nenu Local
Amar Akbar Anthony
Hum Kaun Hai?
Tere Bin Laden: Dead or Alive
Shadyantra
Eiga Doraemon: Nobita no getsumen tansaki
Dhh
Dhaai Akshar Prem Ke
Sandai Kozhi
Maama Mascheendra
99 Songs
A Sublime Love Story: Barsaat
72 Hours: Martyr Who Never Died
Silsila Sidnaaz Ka
Issaq
8 x 10 Tasveer
Style
Monster
The Warrior
Naqaab
Sarkar 3
Mere Yaar Ki Shaadi Hai
Pyaar Hai Toh Hai
Nawabzaade
Lipstick Under My Burkha
Ghanchakkar
Vaada
Khiladi 1080
Family: Ties of Blood
London Dreams
C U at 9
Perversion
Eklavya
Junglee Tarzan
High Jack
Tevar
Tuesdays and Fridays
Maa Tujhhe Salaam
Bombairiya
Chitrakut
Page 3
Masti
Love Per Square Foot
Aankhen
Bypass Road
Durgamati: The Myth
Penthouse
Tum Bin...: Love Will Find a Way
Gandhi Godse Ek Yudh
Shivaay
Junglemahal: The Awakening
Apno Se Bewafai
Gang
Tapa Tap
Tezz
Budhia Singh: Born to Run
I - Proud to Be an Indian
Force
Tom Dick and Harry Returns
Ek Ajnabee
Poorna
Am I Next
Bhuddah Hoga Tera Baap
Red Swastik
Firangi
Kaashi in Search of Ganga
Risk
R... Rajkumar
Sulaikha Manzil
Sherni
1920 London
Himmatwala
Chori Chori Chupke Chupke
Sehar
Bade Achhe Lagte Hai
Touch Chesi Chudu
Bewakoofiyaan
Rocket Gang
Andaman
Kuldip Patwal: I Didn't Do It!
Dil Ne Jise Apna Kaha
Pokhar Ke Dunu Paar
Wonder Women
"Gallit Gondhal, Dillit Mujra"
Mystery of the Tattoo
Dhoomam
Colour Photo
Bhouri
Yamla Pagla Deewana Phir Se...
Katti Batti
Chidiakhana
Hari Singh Nalwa - Champion of the Khalsa Ji
I See You
Saat Uchakkey
Collar Bomb
Parzania
Vodka Diaries
Meri Biwi Ka Jawab Nahin
Undertrial
Fever
Rakhta Charitra
Raag Desh
Pudhiya Geethai
Akaash Vani
House Arrest
ABCD (Any Body Can Dance)
Nil Battey Sannata
Badmaash Babes
376 D
Naina
Satya 2
Marigold
Teraa Surroor
Valley of Flowers
Zameen
Odd Couple
SOS: Secrets of Sex
Leera the Soulmate
Crook: It's Good to Be Bad
Pareshan
Apaharan
InCar
Bhangra Paa Le
Mumbai Express
Aadhi Bhagavan
Kya Yehi Pyaar Hai
Friendship
Dunno Y Na Jaane Kyun...
Noblemen
3G: A Killer Connection
Jurm
Milenge Milenge
Sri
Kahani Rubberband Ki
Mithya
Aamdani Atthanni Kharcha Rupaiya
Dev
Corporate
Munna
Loev
Girlfriend
Mr. X
Love Nation
Get Educated: Paathshaala
Shortcut Romeo
Bhaiaji Superhit
Siddharth
C Kkompany
Aan: Men at Work
Time Out
Monalisa
Jai Gangaajal
Knock Out
London Paris New York
Junglee
Thangalaan
Irudhi Suttru
World Famous Lover
Jahaan Chaar Yaar
Dil Dosti Etc
Krazzy 4
The Fighter Suman
Bullett Raja
Unfreedom
Aaja Nachle
Woh 3 Din
Testing Movie1
Mujhse Fraaandship Karoge
Teri Khata
Fight Club: Members Only
Hum To Mohabbat Karega
Sanaa
Karam
Pran Jaaye Par Shaan Na Jaaye
Chand Sa Roshan Chehra
Dhruva
Regina
Bhopal: A Prayer for Rain
Saindhav
Christopher
Pyaar Impossible!
Kyun! Ho Gaya Na...
Netaji Subhas Chandra Bose: The Forgotten Hero
Sector Balakot
Nibunan
MCA Middle Class Abbayi
Music Teacher
Taxi No. 9 2 11: Nau Do Gyarah
D Company
The Test
Red: The Dark Side
Fool N Final
Home Delivery: Aapko... Ghar Tak
Vaah! Life Ho Toh Aisi!
Khandaani Shafakhana
Hostel
Lucknow Central
Tere Naal Love Ho Gaya
M.... Matric Pass
Sanam Teri Kasam
Children of War
Mirzya
Boyfriend.com
Mere Dad Ki Maruti
Shubh Nikah
School Romance: Pure Love Web Series
Gumnaami
Dobaara
"Main, Meri Patni... Aur Woh!"
Shagird
Ishaqzaade
Badhaai Ho Badhaai
Tera Intezaar
Welcome to Sajjanpur
Mosagallu
Sardar Ka Grandson
Always Kabhi Kabhi
Xcuse Me
Chuhiya
Raaz 3: The Third Dimension
Ragini MMS
Lakeer Ka Fakeer
Suspect
#Mute
Gulaab Gang
MSG: The Messenger of God
Tadapti Jawani
God Tussi Great Ho
Chameli
Super
Haunted Evil Dead
Phir Milenge
Madam Chief Minister
Chaalbaaz in London
Pyaar Diwana Hota Hai
Bulandi
